doc_id,url,sha256,bytes,fetched_at_utc
L000110465925102858_tm2529509d1_ex99-1,https://www.sec.gov/Archives/edgar/data/1083301/000110465925102858/tm2529509d1_ex99-1.htm,8d21132afc5cd77d3f4519d32d81be6881f716f48263db554e889c3b31899a8a,20937,2026-09-24T00:53:07Z
L000110465925122052_hut-20251217xex99d1,https://www.sec.gov/Archives/edgar/data/1964789/000110465925122052/hut-20251217xex99d1.htm,4deef22dc6f49c6b749986a7056777450733d92204a095c488349391c259ec2c,53349,2026-09-24T00:53:07Z
L000110465925122052_hut-20251217xex99d2,https://www.sec.gov/Archives/edgar/data/1964789/000110465925122052/hut-20251217xex99d2.htm,dc23491cf5b37b385f5dfdac63aac9f2e2c489a5d109d8e0088e36a671eaf91f,36926,2026-09-24T00:53:08Z
L000110465926004551_riot-20260116x8k,https://www.sec.gov/Archives/edgar/data/1167419/000110465926004551/riot-20260116x8k.htm,6cc02b329a21a4328bc3fac6059698674d324c941ff44a1b260257607c5891a3,36849,2026-09-24T00:53:08Z
L000110465926004551_riot-20260116xex99d1,https://www.sec.gov/Archives/edgar/data/1167419/000110465926004551/riot-20260116xex99d1.htm,2c9a1f257c13f3ec53cfec581e88abb2fef0fda63d37e3662e2099f64bcb8bf1,32428,2026-09-24T00:53:08Z
L000110465926019393_hut-20260225xex99d1,https://www.sec.gov/Archives/edgar/data/1964789/000110465926019393/hut-20260225xex99d1.htm,f032644a5d8384a027331135f3c635b061e18aedaa03a8a8e51716b70733844f,320344,2026-09-24T00:53:09Z
L000110465926052943_riot-20260430xex99d1,https://www.sec.gov/Archives/edgar/data/1167419/000110465926052943/riot-20260430xex99d1.htm,8d8fae49bcadcff25a5f07c64340e3b96517a07cd059ead3d9646e3453f73c72,109397,2026-09-24T00:53:09Z
L000110465926052943_riot-20260430xex99d2,https://www.sec.gov/Archives/edgar/data/1167419/000110465926052943/riot-20260430xex99d2.htm,9778137270b4ad40a09d1ad0bc7d87a140d65da7b33d8d62e5538cbd080f69ca,71943,2026-09-24T00:53:09Z
L000110465926053247_tm2613163d1_8k,https://www.sec.gov/Archives/edgar/data/1964789/000110465926053247/tm2613163d1_8k.htm,51fbd3f65cf18b6ccb190c5a5280ee451536763f76198679dc68048fb0dac631,36988,2026-09-24T00:53:09Z
L000110465926055894_hut-20260506xex99d1,https://www.sec.gov/Archives/edgar/data/1964789/000110465926055894/hut-20260506xex99d1.htm,7057b39653d2d02f3146e3f17b361dc6ec2067bba930bf3a66cdffcf73cc4728,162166,2026-09-24T00:53:10Z
L000110465926070393_tm2616869d1_8k,https://www.sec.gov/Archives/edgar/data/1964789/000110465926070393/tm2616869d1_8k.htm,9c95d236fbeb89abba37d979e3c7ef6262e3010291a048a29dfcaad41e0a674f,31158,2026-09-24T00:53:10Z
L000110465926070744_tm2616926d1_ex99-1,https://www.sec.gov/Archives/edgar/data/1964789/000110465926070744/tm2616926d1_ex99-1.htm,14c6057cef3106db92e18005fd6b608be0376672d4e0669f884070e8fd5941e1,13931,2026-09-24T00:53:10Z
L000110465926071952_tm2617190d1_8k,https://www.sec.gov/Archives/edgar/data/1964789/000110465926071952/tm2617190d1_8k.htm,0f0e68c09039da220f650da79398612e0a54c262add3c6d487de0df000cf23dd,37688,2026-09-24T00:53:10Z
L000110465926080583_tm2619468d1_8k,https://www.sec.gov/Archives/edgar/data/1083301/000110465926080583/tm2619468d1_8k.htm,3e40f3d72305d45525deef6e934ef5e9751ba9cd117d84ea731158ef5a764531,31968,2026-09-24T00:53:11Z
L000110465926080583_tm2619468d1_ex99-1,https://www.sec.gov/Archives/edgar/data/1083301/000110465926080583/tm2619468d1_ex99-1.htm,07a3b4145190da363b535255dd22c697ccb46224d59157be4588f2e23fa4c075,20465,2026-09-24T00:53:11Z
L000110465926084862_tm2620835d1_ex99-1,https://www.sec.gov/Archives/edgar/data/1964789/000110465926084862/tm2620835d1_ex99-1.htm,c12095286721783f61b266b1a19a4892818fa3013c9c4d9c2c0a158ef5989931,31719,2026-09-24T00:53:11Z
L000110465926093406_riot-20260810xex99d1,https://www.sec.gov/Archives/edgar/data/1167419/000110465926093406/riot-20260810xex99d1.htm,5ba16ab0dac96fe7e8597d984820d307c67c1ac00b2fceccfbf425aa420fd693,207546,2026-09-24T00:53:11Z
L000110465926093406_riot-20260810xex99d2,https://www.sec.gov/Archives/edgar/data/1167419/000110465926093406/riot-20260810xex99d2.htm,607d8fc9e116b20365af2d8562fa93a87efaa65fa1e5b3d76bdc5bc96971dc55,55639,2026-09-24T00:53:12Z
L000114036125039864_ef20057996_ex99-1,https://www.sec.gov/Archives/edgar/data/1839341/000114036125039864/ef20057996_ex99-1.htm,a533fea4b87971f5e2a3c283cfc40e5edd62c503702e0442b7ef223e9ed23d61,30674,2026-09-24T00:53:12Z
L000114487924000210_apldq424earningsrelease,https://www.sec.gov/Archives/edgar/data/1144879/000114487924000210/apldq424earningsrelease.htm,6bfe07341c2be3a78ac424d4215a7dab3ac9d09a00543777aaab61fb0ba84b87,339732,2026-09-24T00:53:13Z
L000114487925000019_apldq425earningsrelease,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000019/apldq425earningsrelease.htm,310a963beb06f86a9cd38601399d10351baa43a0c136374416f27504f61d36a3,410141,2026-09-24T00:53:13Z
L000114487925000068_apldq126earningsrelease,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000068/apldq126earningsrelease.htm,aa016bb91d63038b0fca3ebd7d505d6232c693e166110899e3cfa6762004d49d,287990,2026-09-24T00:53:14Z
L000114487925000076_ad-harwood_prxfinal102225,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000076/ad-harwood_prxfinal102225.htm,da35e22ed8ce40b4dd8460469d395f32d992e5cb38b74bece742148e99f7025a,17218,2026-09-24T00:53:14Z
L000114487926000002_apldq226earningsrelease,https://www.sec.gov/Archives/edgar/data/1144879/000114487926000002/apldq226earningsrelease.htm,fcc6a8a23bc7a0a88b608ddfb4dc37bb62729ce528e0e0749af0af1c751a4bfa,389841,2026-09-24T00:53:14Z
L000114487926000036_apld_deltaforgexprxfinal,https://www.sec.gov/Archives/edgar/data/1144879/000114487926000036/apld_deltaforgexprxfinal.htm,df26c56b073aa3fe609bc5243bab7aa05a206cd3aad1d27cf900232483a17c48,16854,2026-09-24T00:53:15Z
L000114487926000044_apldq426earningsreleaseasf,https://www.sec.gov/Archives/edgar/data/1144879/000114487926000044/apldq426earningsreleaseasf.htm,da6edf300594b6a07ae54aa21190a3f5d2c92e52db0600742168fc0c8e1059a4,485287,2026-09-24T00:53:15Z
L000117184324005191_exh_991,https://www.sec.gov/Archives/edgar/data/1218683/000117184324005191/exh_991.htm,4b648c150521740fb4d0ccbb7bdaf15f665311ea8c3bc6b6da4650ad90c3fadb,10367,2026-09-24T00:53:22Z
L000117184324006361_exh_991,https://www.sec.gov/Archives/edgar/data/1218683/000117184324006361/exh_991.htm,df7a336f4470b857252dde888ffbd4a26212f9c9298024ef082036199563d22a,10569,2026-09-24T00:53:23Z
L000119312526109399_d46621dex991,https://www.sec.gov/Archives/edgar/data/718940/000119312526109399/d46621dex991.htm,ff564e624e6fb8ace1d318a4f6434f2d5a6ccc86dcdab4be428240fe904f74cd,182574,2026-09-24T00:53:23Z
L000119312526165121_d149019dex992,https://www.sec.gov/Archives/edgar/data/1839341/000119312526165121/d149019dex992.htm,5263b776c011e0f5e47fe9c55c09f90f8fd67dac5809d3cdea4fad871c291959,111005,2026-09-24T00:53:24Z
L000119312526302448_clsk-ex99_1,https://www.sec.gov/Archives/edgar/data/827876/000119312526302448/clsk-ex99_1.htm,301e33537e6c8fd9dff00caa428f7acb7f58842e72674b99a0535b0d21216486,32834,2026-09-24T00:53:24Z
L000119312526393758_clsk-ex99_1,https://www.sec.gov/Archives/edgar/data/827876/000119312526393758/clsk-ex99_1.htm,098d300f91fc9e4395a728039622d931f0c55eefbe43a2e1163f08eb68fa2e66,8639,2026-09-24T00:53:24Z
L000121390025123321_ea026991801ex99-1_white,https://www.sec.gov/Archives/edgar/data/2042022/000121390025123321/ea026991801ex99-1_white.htm,0f801f253f1ec77a7cd28e81145d26b704da50c48e63628133b959964410c4de,16815,2026-09-24T00:53:25Z
L000121390026007474_ea027401701ex99-1_white,https://www.sec.gov/Archives/edgar/data/2042022/000121390026007474/ea027401701ex99-1_white.htm,6e093a24b024d2fcf00ae000bc5409bac99e9d98025f5e81f404576b3ba23bae,39734,2026-09-24T00:53:25Z
