deal_id,landlord,tenant,site,it_mw,gross_mw,term_years,avg_annual_revenue_musd,total_contract_value_musd,signed_date,first_rent_or_rfs,rent_basis_note,power_passthrough,tenant_funds_fitout,doc_id,evidence,confidence
CORZ,Core Scientific,CoreWeave,5 sites (Denton TX and others),590,800,12,850,,,2025-05,"First 8 MW billable at Denton in May 2025; ~590 MW by early 2027",Yes,"Yes, up to $1.5M/MW credited against fees",D24,~$850M average annualized colocation GAAP revenue,High
APLD,Applied Digital,CoreWeave,Polaris Forge 1 (Ellendale ND),400,,15,,11000,2025-05,2025-10-27,"Phase 1 RFS 50 MW on 2025-10-27; full 400 MW in 2027",Unknown,Unknown,D27,total critical IT capacity across these three long-term lease agreements will encompass 400MW,High
GLXY,Galaxy,CoreWeave,Helios (Dickens County TX),526,800,15,1000,,2025-03-28,2026-Q2,"Phase I 133 MW critical IT; rent commencement Q2 2026; avg annual revenue stated as 'more than $1 billion'",Unknown,Unknown,D29,CoreWeave has committed to 526 MW of critical IT load,High
