lease_id,status,landlord,tenant,site,announce_date,it_mw,it_mw_evidence,mw_unstated,mw_unstated_evidence,term_years,term_evidence,contract_value_musd,contract_value_evidence,credit_support,credit_support_evidence,doc_id,url,deal_key,n_leases,notes,avg_annual_revenue_musd,annual_revenue_evidence,first_rfs,first_rfs_evidence,credit_type,site_evidence,gross_mw,gross_mw_evidence
P043b,REVIEWED,"DUOS TECHNOLOGIES GROUP, INC.",Axe Compute,,2026-08-19,,,55,"Second Quarter 2026 and Recent Operational Highlights . . · Signed five-year, 55 MW hosting agreements with Axe Compute valued at more than $500 million, representing a significant commercial milestone in the Company’s strategy to develop and operate high-density AI infrastructure . · Entered into an exclusive term sheet with 0Lat LLC for a proposed structured lease across a 15-site, 225-cabinet Edge Data Center portfolio in Texas and Georgia, initiating a 90-day exclusivity and confirmatory diligence period . · Completed the sale of the Company’s wholly owned rail technology subsidiary, Duos Technologies, Inc",5,"Second Quarter 2026 and Recent Operational Highlights . . · Signed five-year, 55 MW hosting agreements with Axe Compute valued at more than $500 million, representing a significant commercial milestone in the Company’s strategy to develop and operate high-density AI infrastructure . · Entered into an exclusive term sheet with 0Lat LLC for a proposed structured lease across a 15-site, 225-cabinet Edge Data Center portfolio in Texas and Georgia, initiating a 90-day exclusivity and confirmatory diligence period . · Completed the sale of the Company’s wholly owned rail technology subsidiary, Duos Technologies, Inc",500,"Second Quarter 2026 and Recent Operational Highlights . . · Signed five-year, 55 MW hosting agreements with Axe Compute valued at more than $500 million, representing a significant commercial milestone in the Company’s strategy to develop and operate high-density AI infrastructure . · Entered into an exclusive term sheet with 0Lat LLC for a proposed structured lease across a 15-site, 225-cabinet Edge Data Center portfolio in Texas and Georgia, initiating a 90-day exclusivity and confirmatory diligence period . · Completed the sale of the Company’s wholly owned rail technology subsidiary, Duos Technologies, Inc",,,L000107997326001150_ex99x1,https://www.sec.gov/Archives/edgar/data/1396536/000107997326001150/ex99x1.htm,DUOS-AXE-55MW,,Split from P043. Value is a lower bound ('more than $500 million'). MW basis not stated.,,,,,,,,
P128b,REVIEWED,Applied Digital Corp.,Undisclosed high investment-grade hyperscaler,Polaris Forge 3,2026-07-27,,,300,"• Signed a second 15-year take-or-pay lease with the same high investment-grade hyperscaler for 300 MW at Polaris Forge 3, which provides for approximately $7.5 billion in base-term contracted revenue, with initial operations expected to commence during calendar year 2027",15,"• Signed a second 15-year take-or-pay lease with the same high investment-grade hyperscaler for 300 MW at Polaris Forge 3, which provides for approximately $7.5 billion in base-term contracted revenue, with initial operations expected to commence during calendar year 2027",7500,"• Signed a second 15-year take-or-pay lease with the same high investment-grade hyperscaler for 300 MW at Polaris Forge 3, which provides for approximately $7.5 billion in base-term contracted revenue, with initial operations expected to commence during calendar year 2027",,,L000114487926000044_apldq426earningsreleaseasf,https://www.sec.gov/Archives/edgar/data/1144879/000114487926000044/apldq426earningsreleaseasf.htm,APLD-PF3,1,Split from P128. MW basis not stated. announce_date is the report date; the lease was signed earlier in the quarter.,,,,,,,,
P290b,NO_TERMS,"Core Scientific, Inc./tx",Undisclosed neocloud,,2026-07-28,152,"(“AMD”) for an aggregate of 377 MW of critical IT capacity at the Company’s Pecos, TX; Muskogee, OK; and Hunt County, TX sites; and Lease Agreements (the “Neocloud Leases,” and collectively with the AMD Leases, the “Leases”) with a Neocloud (“Neocloud”), for 152 MW of critical IT capacity at the Company’s Auburn, AL and Dalton Phase 3, GA sites",,,,,,,AMD,"In connection with the Neocloud Leases, each of the Company, Neocloud and AMD has entered into a Credit Support Agreement with respect to each Neocloud Lease: (i) establishing protections for AMD equipment held within the applicable Neocloud Lease premises, (ii) providing AMD the right, but not the obligation, to cure certain defaults of Neocloud under the applicable Neocloud Lease, and (iii) establishing AMD’s rights and obligations in the event of certain material defaults by a Neocloud with respect to the applicable Neocloud Lease",L000183934126000012_core-20260727,https://www.sec.gov/Archives/edgar/data/1839341/000183934126000012/core-20260727.htm,CORZ-NEOCLOUD,,"Split from P290 (Neocloud Leases, AMD credit support).",,,,,,,,
P320,REVIEWED,"Core Scientific, Inc./tx",CoreWeave,,2024-06-04,,,200,"Under the terms of the agreements, Core Scientific will deliver approximately 200 megawatts (“MW”) of infrastructure to host CoreWeave’s high-performance compute (“HPC”) operations",12,"Once the approximately 200 MW of HPC infrastructure is operational, the project is estimated to generate total cumulative revenue for Core Scientific of over $3.5 billion during the initial 12-year terms of the contracts",3500,"Once the approximately 200 MW of HPC infrastructure is operational, the project is estimated to generate total cumulative revenue for Core Scientific of over $3.5 billion during the initial 12-year terms of the contracts",,,L000162828024026483_corzcoreweavehpc,https://www.sec.gov/Archives/edgar/data/1839341/000162828024026483/corzcoreweavehpc.htm,CORZ-CRWV-INITIAL,,Original CoreWeave contracts (a series of 12-year contracts). Value is 'over $3.5 billion' before prepaid build-out costs. CoreWeave funds capex.,290,Estimated average annual revenue from the contracts is expected to be approximately $290 million,2025-04,The site modifications are expected to commence early in the second half of 2024 and achieve operational status in the first half of 2025,none_stated,,,
P321,REVIEWED,"Core Scientific, Inc./tx",CoreWeave,,2024-06-25,,,70,"Under the terms of today’s announced agreement, Core Scientific will modify a total of 100 MW of its owned infrastructure to deliver approximately 70 MW to host CoreWeave’s NVIDIA GPUs for HPC operations",12,"From revenue to gross margin, the new contract with CoreWeave is expected to enhance earnings power and drive shareholder value, adding an additional $1.225 billion in projected cumulative revenue over the 12-year contract timeline",1225,"From revenue to gross margin, the new contract with CoreWeave is expected to enhance earnings power and drive shareholder value, adding an additional $1.225 billion in projected cumulative revenue over the 12-year contract timeline",,,L000162828024029900_ex991-finalcorzhpcoptionre,https://www.sec.gov/Archives/edgar/data/1839341/000162828024029900/ex991-finalcorzhpcoptionre.htm,CORZ-CRWV-OPT1,,CoreWeave option 1.,,,2025-10,"Site modifications are expected to begin in the second half of 2024, with operational status anticipated in the second half of 2025",none_stated,,,
P322,REVIEWED,"Core Scientific, Inc./tx",CoreWeave,,2024-08-06,,,112,"Under the terms of today’s announced agreement, Core Scientific will modify its infrastructure to deliver approximately 112 incremental MW for HPC to host CoreWeave’s NVIDIA GPUs",12,The new contract with CoreWeave is expected to add approximately $2.0 billion in projected additional cumulative revenue over the hosting contract’s 12-year term,2000,The new contract with CoreWeave is expected to add approximately $2.0 billion in projected additional cumulative revenue over the hosting contract’s 12-year term,,,L000162828024034989_exhibit991-corescientifich,https://www.sec.gov/Archives/edgar/data/1839341/000162828024034989/exhibit991-corescientifich.htm,CORZ-CRWV-OPT2,,CoreWeave option 2.,,,2026-04,"Site modifications are expected to begin in the second half of 2024, with operational status anticipated in the first half of 2026",none_stated,,,
P323,REVIEWED,Galaxy Digital Inc.,CoreWeave,Helios,2025-03-28,526,"Across Phases I through III, CoreWeave has committed to 526 MW of critical IT load — the full 800 MW of gross power currently approved and contracted at Helios — under 15-year leases that include two five-year extension options and are expected to generate more than $1 billion in average annual revenue",,,15,"Across Phases I through III, CoreWeave has committed to 526 MW of critical IT load — the full 800 MW of gross power currently approved and contracted at Helios — under 15-year leases that include two five-year extension options and are expected to generate more than $1 billion in average annual revenue",,,,,D29,https://www.prnewswire.com/news-releases/galaxy-completes-phase-i-of-its-helios-data-center-campus-delivering-133-megawatts-of-critical-it-load-to-coreweave-302818664.html,GLXY-CRWV-HELIOS-PKG,3,"Package of Phases I-III. Annual revenue is a lower bound ('more than $1 billion'). announce_date = Phase I signing (P256); P294 and P295 state that Phases II and III use terms similar to the March 28, 2025 lease.",1000,"Across Phases I through III, CoreWeave has committed to 526 MW of critical IT load — the full 800 MW of gross power currently approved and contracted at Helios — under 15-year leases that include two five-year extension options and are expected to generate more than $1 billion in average annual revenue",,,none_stated,"Across Phases I through III, CoreWeave has committed to 526 MW of critical IT load — the full 800 MW of gross power currently approved and contracted at Helios — under 15-year leases that include two five-year extension options and are expected to generate more than $1 billion in average annual revenue",800,"Across Phases I through III, CoreWeave has committed to 526 MW of critical IT load — the full 800 MW of gross power currently approved and contracted at Helios — under 15-year leases that include two five-year extension options and are expected to generate more than $1 billion in average annual revenue"
